Name,Email,Sent Messages (Baseline),Received Messages (Baseline),Recipients in Sent Messages (Baseline),Bcc Recipients in Sent Messages (Baseline),Cc Recipients in Sent Messages (Baseline),Read Later (in hours) (Baseline),Days between Received and Read (Baseline),Replies to Messages (Baseline),Characters in Outgoing Messages (Baseline),Messages Outside Working Hours (Baseline),Received/Sent Ratio (Baseline),Bytes Received and Sent Ratio (Baseline),Unanswered Questions (Baseline),Sent Messages (Comparison),Received Messages (Comparison),Recipients in Sent Messages (Comparison),Bcc Recipients in Sent Messages (Comparison),Cc Recipients in Sent Messages (Comparison),Read Later (in hours) (Comparison),Days between Received and Read (Comparison),Replies to Messages (Comparison),Characters in Outgoing Messages (Comparison),Messages Outside Working Hours (Comparison),Received/Sent Ratio (Comparison),Bytes Received and Sent Ratio (Comparison),Unanswered Questions (Comparison),Probability of Leaving
Stacey Sims,devon20@example.org,300,196,13,0,0,0,3,6,287,2,0.7342705922708301,0.5965854979542442,3,316,172,4,3,3,0,3,22,279,9,1.6619214204612183,0.7296832509608586,1,0
Kayla Powell,johnbartlett@example.org,226,161,14,4,4,7,1,14,315,1,1.1891024275323219,0.637374099742632,4,348,232,8,1,0,1,6,17,364,2,1.2781348637969758,1.4084788923824485,1,1
Lauren Hansen,nicholsonmatthew@example.com,284,183,8,4,0,3,4,29,349,5,1.3194641194926362,1.4717521818131656,2,210,243,10,0,3,6,2,6,321,7,1.632551499525543,0.7005417204175668,0,1
Jasmine Whitaker DVM,shaneortiz@example.com,305,143,5,0,2,3,4,11,314,6,1.9694529628695054,1.93834983681591,0,312,144,5,0,1,7,1,21,323,0,0.6357024538037908,1.1510450450789422,4,0
Rachel Cervantes,ymurphy@example.net,372,225,3,1,4,9,4,7,294,8,1.856976574108167,1.5040271498121836,1,278,196,3,1,4,7,5,18,336,6,1.4513123709400002,1.956322628898117,2,0
Laura Barton,robert64@example.com,328,218,8,1,1,2,1,2,278,6,1.3533327940344995,1.2276363523151588,0,297,224,10,3,4,3,6,1,305,0,1.6422222745634754,0.630977876466204,0,0
Madison Bradley,starkteresa@example.net,354,172,1,2,0,0,1,18,322,9,1.5099165896937075,1.2741819666635226,3,287,169,5,3,0,0,4,22,272,2,1.512337445099117,1.9549700503487457,1,1
Jeffery Johnson,martinezandrew@example.org,244,179,4,0,4,1,3,13,297,0,1.8666011644682434,1.8086894533542952,0,398,228,7,2,2,9,1,4,230,9,0.598524890005692,0.7451285510436672,1,0
John Petersen,mooretodd@example.org,217,249,7,2,1,9,3,16,287,0,0.7417101013607572,1.6750171856552567,4,290,193,13,2,3,6,6,3,261,3,1.0543423706591872,1.554938717066515,0,0
James Wise,shirleyklein@example.com,301,192,12,0,1,1,5,15,289,0,1.031353989428912,0.7924997226978688,2,362,148,9,3,2,0,5,16,337,6,1.0517366938094383,1.6554321223905086,4,1
Brittney Hood,yrogers@example.org,398,171,14,3,1,3,3,4,337,3,0.734807587109781,0.935789041583986,2,305,252,12,3,2,0,6,4,251,6,1.6796935762624732,1.4571428201438066,1,1
Justin Young,danielle76@example.com,335,226,12,0,0,9,2,12,315,9,1.8547403277434482,0.6119671664405774,2,368,251,3,1,4,6,2,4,358,6,0.9715736462768012,0.9282088628556562,4,0
Pam Chase,bennettjeffrey@example.com,276,191,8,0,3,1,2,14,266,5,1.033906438643944,0.6439159681286651,1,315,175,6,3,2,9,6,12,286,4,1.9350812032867384,0.9162786926149409,3,1
Mrs. Alyssa Wilson,sergio47@example.com,393,208,10,0,4,5,1,18,292,0,1.6322930319743263,0.8126002479456652,0,332,166,2,2,3,0,4,5,276,8,1.4856951787367212,0.6638894458439685,3,1
Kaitlyn Caldwell,bsingleton@example.com,240,226,11,1,1,7,1,7,337,9,1.39334054026673,1.6993524627047885,4,310,206,11,2,3,5,4,1,303,0,1.761948956526857,1.3602373867482997,4,0
Lauren Hill,bparker@example.com,319,250,10,1,3,9,5,9,275,7,1.2628804699565839,1.8231995768614153,2,245,172,3,4,3,6,4,22,247,6,1.7466330511773767,1.4695442303726398,0,0
Melinda Williams,ygriffin@example.com,282,198,4,1,3,2,5,23,284,4,0.5551573759245783,0.9300351207173305,1,332,186,9,3,1,2,3,7,370,3,1.794344331888854,1.624596629806795,3,1
Ernest Weeks,jimenezstacy@example.com,358,218,14,0,1,5,4,7,308,6,0.6460016770849392,1.0000492350468542,2,240,185,11,3,1,2,1,12,295,6,0.560544154438272,1.0297878556178912,2,1
Alyssa Mcintosh,monroemichelle@example.com,322,183,6,1,4,5,4,8,302,1,1.9509217335953184,1.9817533966796228,0,301,234,12,0,4,7,4,13,369,6,0.7821578224892979,1.7147738732563558,3,0
Christy Dean,michaelmcknight@example.org,201,209,10,2,0,2,2,6,268,9,1.50689038568576,1.608569059821399,3,362,206,11,3,2,6,2,4,341,9,1.3745176339835892,1.8903440015434985,1,0
Dr. Lauren Gonzalez,pherrera@example.com,290,220,13,0,4,6,4,18,275,6,1.3707312419963276,1.448382971073869,2,212,200,6,4,0,2,4,8,305,3,1.2996402817738453,1.3150669623060092,3,0
Brittany Harris DDS,perrytracy@example.com,318,215,5,0,0,8,6,2,223,4,1.426848453404076,0.9957514340005893,3,232,182,6,3,4,7,2,16,361,2,1.5603863972951781,0.9498406247992193,1,0
Anna Wilson,robinsongeoffrey@example.net,274,149,6,3,3,3,6,19,212,9,0.9625243279588487,1.8185913083880596,1,324,261,13,3,3,4,3,12,293,4,0.9577629978884936,0.8742447939809269,0,1
Alejandro Gonzales,ihanna@example.net,308,183,8,3,2,8,3,16,311,9,1.884733086743382,1.9290018878846902,2,193,224,12,0,1,8,4,2,279,0,1.081272518810536,1.3486306611642505,1,1
Vanessa Harper,monique76@example.net,236,238,5,0,0,2,2,3,265,3,1.286153719088034,0.5524167715564123,1,241,178,2,3,0,5,5,0,321,2,1.0120278989659202,1.0201355492307367,3,0
Victoria Carr,kevin16@example.com,285,169,12,2,4,3,3,16,331,1,0.5062857062311192,1.4992806698307823,3,268,259,3,2,2,4,4,25,321,5,1.582676171821185,1.052242815999615,3,1
Matthew Wilson,williamsbrandon@example.net,339,145,6,1,4,5,3,27,192,4,0.9285049721264784,1.049676383865015,0,306,224,9,3,0,8,3,21,216,2,0.9021688797184262,0.6223518372514425,0,0
Mark Kelly,imiller@example.net,294,140,8,0,0,4,6,21,363,8,1.6526926712543275,1.052036626527119,3,307,220,8,1,4,0,3,17,283,8,0.8992192763973307,1.45058307404124,1,1
Kelly Hardy,taylorelizabeth@example.net,462,175,4,1,3,2,5,24,281,8,1.841943983968329,1.7633078319880202,1,231,170,7,1,1,6,6,17,291,2,1.8631718424973045,1.8873005914124208,2,1
Darius Hoffman,hfrench@example.net,356,210,13,4,0,8,5,2,311,5,1.619988704879454,1.0197242938058664,4,289,185,13,4,0,0,3,4,265,8,1.1560681938892359,1.1167254373020272,2,0
Joshua Peterson,david96@example.net,238,251,13,1,4,1,1,6,352,8,1.7525556342802542,1.946178157239506,1,264,206,5,1,0,4,1,13,320,7,1.5744668199220473,0.6036784671824134,4,0
Lori Jackson,yharper@example.net,304,193,13,3,0,7,6,26,285,8,1.7759911673184152,1.7978530488046445,1,364,123,3,2,3,3,6,1,296,6,0.6472398472268736,1.6742768167816955,4,0
Robin Harris,ihogan@example.net,342,221,6,3,4,6,6,2,322,0,0.8136887806094395,1.3048889769096357,0,288,217,13,4,3,8,3,0,339,5,0.9338092709703962,1.9561649451442618,1,0
Kimberly Bishop,rogernewman@example.net,305,253,6,1,0,3,5,16,345,5,0.9522695789034112,1.7898472557724454,4,301,208,7,2,1,6,4,13,234,3,0.8923141677392723,1.823223014075097,4,0
Keith Myers,ericajohnson@example.net,291,212,2,4,2,2,4,13,269,2,1.7258303783317261,1.7155897159317008,1,302,158,5,4,0,6,4,17,219,4,1.2433008467905837,1.758890138914658,0,1
Amanda Reed,travissmith@example.org,223,226,13,4,2,0,1,21,273,8,1.3089044370536045,1.996972312722861,1,308,178,12,4,2,1,6,7,334,1,1.8461669644344982,1.4810553595183764,0,1
Sarah Bowman,kevin11@example.org,216,204,7,1,0,2,3,18,330,8,1.451132933188329,0.7006730043069342,2,186,176,3,4,4,3,6,18,361,1,1.3394998816774217,1.0629665713245093,1,1
Misty Dillon,burgesstiffany@example.net,293,205,3,4,4,4,5,8,172,6,1.7706748439089037,0.9368817823796166,0,378,212,9,3,1,5,3,0,274,8,0.77580307045353,1.4714920196865406,2,0
Gabriella Owen,pkennedy@example.org,352,213,3,2,1,7,5,7,213,6,1.7322851309624576,0.7550397039918573,3,305,177,2,0,0,7,1,2,349,2,0.9152922495262517,1.1730239767430317,3,1
Gabriella Marsh,jacob48@example.net,395,176,12,4,1,9,5,19,341,9,1.645572759383157,1.091125855196978,1,293,240,7,2,3,1,6,11,279,4,0.7030775629461599,1.781174424678381,1,1
Janet Waters,richardwashington@example.net,363,249,4,1,1,1,3,12,333,2,1.1431746807761767,0.8339692038525526,2,387,193,10,2,1,0,6,26,310,8,1.5559741305998707,0.7200026337676727,3,1
Peter Stevenson,goodmancaitlin@example.com,284,230,8,1,2,2,3,17,321,6,0.9304455872396361,1.8096647110556687,4,320,209,6,4,0,0,2,14,224,3,1.4244905343790624,1.5057336124187373,3,1
Elizabeth Henson,zacevedo@example.com,275,214,1,4,4,9,2,15,244,6,0.6836011760204579,0.7620607621610747,1,322,183,12,4,1,2,3,27,374,7,1.3316917841771554,1.85209505790621,4,0
Courtney Hebert,michelle23@example.org,211,198,5,2,3,6,6,25,317,8,1.586701037201964,1.2575321100879768,0,344,233,5,0,4,7,6,12,363,5,0.5508175688198014,0.7512363614561184,4,0
Ashley Lopez,levykaitlyn@example.net,357,211,7,2,0,5,4,4,276,2,1.2742603740843355,0.5403236550847341,3,302,146,11,1,4,9,5,23,340,0,1.1124919178031938,1.0919974778005757,1,1
Carolyn Curry,howardjustin@example.org,318,199,2,3,0,9,6,25,358,1,0.8376366000210353,1.428834249926302,0,304,193,3,0,1,5,4,15,279,1,0.5961603960662494,1.3798641803451739,1,0
Julia Bell,dennisrich@example.net,271,206,6,2,3,2,6,28,298,6,1.461964642948788,0.993326371341618,2,370,225,14,1,4,9,6,5,338,0,1.935043376456762,0.9977080926516126,2,0
Rachel Morgan,gregoryellis@example.org,209,204,4,2,2,4,1,1,356,1,1.1142583969794906,0.7744397308889063,0,242,160,1,0,3,7,2,27,325,6,0.7159959891341845,0.6556131151939042,3,1
Valerie Burns,mjones@example.com,268,235,1,4,2,8,6,25,316,4,1.8892317865077521,0.9376894692917592,2,265,227,4,3,3,3,6,25,278,1,1.4981041672623823,1.8700471867677835,1,1
Michael Allen,jimenezamy@example.net,296,197,9,4,0,4,3,7,362,8,0.9903529999414611,1.2278741723087374,2,285,157,9,3,2,1,3,5,334,6,1.0347776308193082,1.5694784019255312,2,0
David Norton,cannonheather@example.com,350,165,4,0,2,9,6,6,330,5,1.0676638549632615,1.9510041406003578,3,271,176,2,0,2,5,5,11,248,0,0.6304016666099301,1.6368014756921507,0,0
Daniel Summers,grahamchristina@example.net,245,192,12,2,1,2,6,29,286,4,1.594383687096088,0.5671925686766537,3,300,167,14,0,3,9,1,9,230,3,1.3508888021455503,0.9373804408528625,2,1
Jessica French,irodriguez@example.org,295,194,4,3,4,9,5,9,311,8,1.7603208895966365,1.556568910640722,4,290,189,13,1,0,5,3,18,307,8,0.6993377807314997,0.8350958848726572,3,0
Jeffrey Clark,brittany21@example.net,356,230,9,1,2,3,1,19,380,4,1.4568542056952292,1.6008100876490672,3,244,219,10,4,0,1,6,14,271,1,0.706578428452917,1.6930449964471386,2,1
Stacey Martin,robertramirez@example.org,309,192,10,1,0,1,1,16,345,2,1.7786910258786641,1.4715743920772353,2,242,189,11,4,4,2,2,25,297,0,1.6508728768942442,0.8177062701179685,3,0
Jason Beard,anthonyavery@example.net,272,167,12,4,2,0,1,18,296,0,1.4271952446428628,1.6526700760923716,2,385,187,2,1,3,5,3,8,277,4,1.4321663062295038,1.2436837633429787,0,0
Jeffery Jones,pmcpherson@example.com,361,219,3,4,3,7,6,13,366,7,1.4116514871841817,1.3630303118103724,1,376,207,14,0,2,2,2,19,199,0,1.3800225302833926,0.5274061804331865,4,0
Susan Carpenter,theresa34@example.org,279,172,2,4,1,0,1,2,247,7,0.6559986526320445,0.9729880838941127,0,306,197,10,0,4,7,3,19,335,5,0.9476633511505864,1.9177501122995035,3,0
Justin Miles,mckinneyhoward@example.com,265,174,4,3,4,6,2,19,232,4,1.5080125102244448,1.8456245473310156,0,389,149,2,4,3,9,1,15,258,8,1.987837138018258,1.2127502155914647,4,1
Carla Moody,angela93@example.com,331,178,14,2,4,8,3,8,302,6,1.8903897625899868,0.7415324246503217,1,329,178,9,4,1,7,6,21,319,8,1.3524848093717705,1.9578130550956274,2,0
Jessica Lewis,tammysmith@example.com,302,200,2,0,3,3,3,8,412,6,0.8450853834952308,1.442713017607351,2,298,210,2,2,3,3,4,24,291,4,0.9961875717805837,1.3870660942210504,0,0
Christopher Morris,vargasjose@example.com,315,191,12,1,1,0,6,7,308,9,0.5657854410165162,0.5192462104761695,1,290,184,2,4,3,2,5,8,261,2,1.9367024164639703,1.5899318645098959,1,0
Courtney Benson,lisaperry@example.net,278,167,11,2,2,0,2,22,367,3,1.4496218474036542,1.616684300884833,3,349,154,1,3,4,6,5,22,254,2,1.01329148391786,0.6779858174874025,3,1
Christopher Jones,yorkryan@example.com,355,168,5,4,4,0,2,26,307,7,1.5969186011003462,1.0362106609540624,4,238,230,10,0,4,4,2,25,293,8,1.5487956067386377,1.7989465508966795,1,0
Jordan Moore,wclark@example.org,317,188,7,1,0,8,4,3,258,5,1.8396960865095457,1.2625196840332076,0,371,206,14,2,2,8,5,11,216,6,1.547196727074148,1.567240978227276,1,0
Kimberly Thomas,jessemills@example.com,309,193,4,3,1,4,5,15,318,3,1.1137396772406774,0.804483228024242,0,261,170,11,0,1,2,6,28,309,6,0.6895433463818024,1.4247153257721468,0,0
Katherine Alvarado,zbrady@example.com,292,185,6,0,4,7,1,26,319,8,1.8445322584942636,1.563721110427279,1,264,135,5,0,1,6,2,18,225,7,1.7191113926376453,1.1075019718705381,3,1
Adam Gonzalez,padillaeugene@example.net,358,177,12,4,2,8,4,6,304,3,1.8310973518213118,0.9709553763934765,1,217,206,8,3,3,8,6,18,295,3,0.8427774646206112,0.7832260991722797,0,1
James Simpson,ericksonraymond@example.com,320,240,12,0,4,7,6,25,269,7,1.191160995488295,0.9770029371567441,2,290,227,2,3,4,8,5,20,310,9,1.8970493118140095,1.2412370648485682,2,1
James Miller,fullerkathryn@example.net,284,164,9,0,1,8,6,0,232,6,1.9362049851528405,1.4106226593134037,4,341,217,2,2,2,0,4,11,284,1,1.6534526700398464,1.9618792299106795,3,0
Jamie Jacobs,clintongrant@example.org,315,221,4,2,1,8,6,16,289,9,1.1340103090027673,0.9542846036498254,0,323,185,2,3,2,6,6,21,383,6,0.7408165436394322,0.8485752251346141,4,0
Diana Garza,amber46@example.net,378,264,1,3,0,6,2,10,323,3,0.8946786308699257,0.8197975650129368,1,310,205,8,2,2,9,1,4,206,9,1.384886569724228,0.9759456879102982,3,1
Michele Baker,jennifer10@example.org,294,213,6,2,3,7,2,21,318,3,0.6655697791223221,0.8267376253310451,0,347,186,10,3,2,1,3,1,338,0,1.0380640139820543,1.1988395716795837,1,0
Martin Hall,bishopjohn@example.org,254,234,10,4,1,2,1,17,335,2,0.8552210022035214,0.8864153279708022,3,332,222,9,1,0,8,5,26,211,9,1.7181405365459306,1.4006445181350162,0,0
Jason Harris,hickmantracey@example.net,273,177,1,0,1,1,3,26,384,0,0.547240726366453,1.303399819688052,1,250,225,8,2,1,2,1,4,308,0,0.9620057800107654,1.1702889166118289,3,0
Sarah Lee,zgonzales@example.org,302,174,13,3,0,8,2,28,368,7,1.4228878234341935,1.9547753812503565,2,323,236,8,1,2,2,1,18,295,5,1.397064300060026,0.7658468575863131,0,1
Joshua Mccullough,emilykirk@example.net,299,262,2,1,1,9,1,17,354,2,1.5147633443933697,1.6878184178614601,3,256,224,7,2,0,6,5,2,329,0,1.1591226176444311,1.1120110964599952,2,1
Melissa Rush,anthonythompson@example.net,274,204,12,0,2,4,5,25,366,3,1.3392756065145852,0.8565078895670151,2,309,195,2,4,4,6,1,22,218,5,0.6308236845014155,1.6471061588530507,2,1
Robert Taylor,bensonmary@example.org,247,231,9,1,4,8,6,17,314,2,1.8875320899135284,0.6357007138971078,3,321,150,9,1,0,4,3,4,260,4,1.3984151424444913,1.2655205335908768,2,0
Marisa Harvey,millerleslie@example.com,240,257,12,0,2,6,4,21,242,8,1.7072190166462826,1.7998892594828582,4,265,207,8,3,2,8,1,22,359,7,0.9029794516195366,0.6015663231236985,0,1
Gina Lane,christine78@example.com,223,173,5,4,1,7,6,2,369,7,1.5216155658793953,1.6041814502210185,2,277,220,9,1,0,4,2,5,370,1,1.0648187135706477,1.419540132195958,4,1
Amanda Garza,hamiltonkim@example.org,306,168,14,3,1,3,1,22,253,9,1.7502938883596246,0.5655515168020266,3,291,225,9,3,3,0,5,4,321,5,1.4729183877919674,1.5012652069234802,3,0
Gabriel Hancock,ccalhoun@example.com,331,191,14,0,4,3,4,10,226,3,1.4464013202083872,1.1415710280459592,1,217,226,4,4,0,2,6,11,409,2,1.518035260841942,1.7145190995118627,3,1
Adam Hall,fleminghaley@example.org,366,235,8,4,0,3,1,19,303,9,0.6587981773137526,0.801194755657687,1,195,260,10,3,4,4,2,27,287,5,0.679764682898873,1.5235807388998606,0,0
Julia Patton,priceeric@example.org,278,222,3,2,1,0,1,7,366,6,1.1594821486711413,1.088360050782544,2,294,176,5,1,1,4,4,21,331,2,1.4817235331131962,1.5657160917225155,2,0
Colleen Torres,jenniferhickman@example.net,401,187,3,3,4,3,2,28,308,1,1.0930706563911308,0.8478333631840411,2,308,249,6,1,3,5,3,26,272,2,1.2115389721558638,1.06469450711645,0,0
Joe Lopez,rick26@example.org,303,208,1,3,2,7,4,16,279,9,0.692105279042471,1.9565371987979456,3,258,200,12,4,2,8,5,20,312,8,1.7691337445754807,0.512705838050875,4,1
Patricia Williams,davidgarcia@example.com,290,233,7,4,3,0,5,5,298,5,1.7419750436153498,0.7078630695934587,3,287,160,1,1,2,5,5,15,386,4,0.5069490595493918,1.5204694966594687,3,0
John Foster,lisacampbell@example.net,231,194,13,1,3,1,5,24,290,3,0.7441633065752391,1.95920440262907,3,314,217,2,0,0,7,2,1,200,1,1.4885975282577628,1.6670675388179899,0,1
Robert Jackson,hhernandez@example.org,336,182,1,1,3,2,5,14,361,1,1.4721153275449999,1.4101316272282494,4,244,254,4,0,2,7,5,27,295,2,1.9610311874547735,1.3160300402131273,3,1
Jason King,melissamaxwell@example.net,271,201,12,0,2,1,3,11,344,5,0.8064060596676286,0.9348824870444513,1,301,220,12,4,1,8,5,21,303,9,0.8414500714291443,1.3002714744467248,2,0
Kayla Morris,brittanyholden@example.com,257,185,14,1,2,3,6,25,325,5,1.5767321396592349,1.504473835058024,0,305,205,9,4,1,9,1,25,265,1,1.7866528645061528,0.9114990917735729,3,1
Terry Velasquez,mcochran@example.com,499,198,11,0,3,8,4,19,345,3,1.362206655474991,1.3952799562603537,1,329,203,13,2,0,0,2,10,258,2,0.8927393035922793,1.6173085830395086,0,0
Michael Ingram,michael97@example.net,329,260,6,4,0,2,6,4,309,8,1.4425385215006665,1.218333776770484,1,295,204,11,0,1,3,4,0,246,3,1.0460417982766397,1.1528093237114045,2,1
Richard Thomas,jonathanreed@example.net,274,205,9,2,2,0,3,7,342,6,1.0037274040741662,1.1058096444882204,0,336,223,1,4,3,4,1,22,194,1,0.7521325864435657,0.5321170799204241,2,0
Melissa Olson,tanyabooker@example.com,283,207,1,1,0,3,4,15,397,0,1.013725731071537,0.5381620945482928,2,292,230,6,1,1,9,2,12,267,2,1.940139774505734,1.8684538691136678,1,0
Paul Norman,garciamatthew@example.com,411,190,7,0,1,2,1,4,217,8,1.3150951506598427,0.6014919295174326,0,304,240,13,0,1,4,6,28,278,8,1.9951769725465869,1.5763851681783905,4,1
Samantha Johnston,burnsdanielle@example.net,381,198,2,4,4,0,3,6,257,8,0.6763210758527992,1.6588428338380539,0,367,137,13,0,2,4,1,21,360,8,1.9922420825097997,1.524231105367531,1,0
Tracey Reid,eric23@example.org,312,225,9,0,3,9,4,18,319,3,0.6327166857413054,1.4506275553391572,1,304,236,6,2,0,1,4,28,287,6,0.8443727399870568,1.6623581060637647,4,0
Sandra Ruiz,fosterjennifer@example.net,314,199,9,1,0,4,6,7,187,0,1.3825896596390894,1.3027893869871747,2,391,206,11,2,2,1,5,21,312,9,1.644490436884988,1.905125177494991,3,1
Robert Padilla Jr.,cory98@example.com,378,182,5,4,1,1,3,16,288,2,1.5096853904176384,0.536773204582067,4,291,194,1,0,2,2,1,20,306,4,0.7908128832503425,1.7325890289832593,3,1
Danielle Morales,jonesjared@example.org,300,219,2,4,0,2,3,17,225,6,0.984401041864942,1.0968202854716325,4,235,167,3,1,4,4,2,14,268,4,1.9881209318392357,1.7314073632371487,0,0
Kathleen Wallace,jtaylor@example.com,252,169,3,3,1,7,3,12,304,5,1.3014553222283984,0.9929757088073713,1,296,215,2,1,0,1,5,20,306,5,1.4470693663968164,1.3191729870249687,2,1
Mark Cruz,tiffany72@example.com,205,212,1,4,3,7,3,4,286,2,1.8502009584178727,1.010578358061931,4,265,210,1,1,3,5,5,27,324,7,1.4930704586007493,0.5029233579070211,3,1
Gregory Porter,paulasantos@example.net,289,187,9,0,1,2,1,17,317,5,0.5584485277027675,0.8704087689586788,0,332,194,2,3,4,0,4,17,327,5,0.9111827231036269,1.6338026050712116,4,0
Sherry Hall,hunterlopez@example.com,216,242,8,3,1,5,1,12,373,6,1.93159750477507,1.4174083146468974,4,288,188,1,1,0,9,4,4,322,4,0.6686348503759736,1.8950297995247465,4,1
Rebecca White,markflores@example.net,355,194,5,4,0,2,6,21,338,7,0.6292146686088489,0.884584094048911,4,310,160,13,0,1,2,4,8,373,0,0.8994667426609263,1.189809720720708,4,1
Joshua Manning,dsutton@example.org,315,182,5,4,4,8,6,11,302,3,1.459077684409318,0.797855153999549,2,368,252,13,4,3,9,5,2,334,9,1.7002895716083855,0.6906167681936768,0,1
Lauren Chase,othompson@example.net,242,234,14,2,4,1,2,16,355,0,0.8199016304006985,1.6462623566580155,0,312,132,6,3,2,3,2,26,300,6,1.535290658312381,1.138191294206773,3,1
Donna Williams,eespinoza@example.org,329,185,1,3,1,3,1,2,207,8,1.0945274468079826,0.7996830363346954,0,328,216,6,3,3,6,2,13,347,1,1.1574106869046497,1.6943458096300628,3,0
Jeff Scott,gfitzgerald@example.net,339,209,12,3,2,2,2,3,303,8,1.210810937214812,1.295169209496743,2,281,177,12,2,2,1,6,14,349,7,1.4304051011350913,1.7517136553816917,1,1
Jason Schmidt,charlesrichardson@example.org,310,255,2,3,2,0,4,16,250,1,1.8673609376724127,0.7272193588538867,3,285,270,2,4,1,6,3,27,330,5,0.8319385669484471,1.6057503181045742,4,1
Richard Hammond,amanda48@example.com,336,174,11,4,2,6,3,1,156,7,1.5344474500312273,0.7309779974991233,2,350,177,8,4,2,3,5,18,396,2,0.9630917588122858,1.9291951271315992,2,1
Anna Edwards,rose37@example.net,294,207,12,4,4,3,5,18,347,9,1.8037175526946445,0.8187202200257548,1,284,145,12,1,0,5,4,8,283,6,1.2993474569389256,1.8195820363174802,4,1
Mark Bailey,mthomas@example.org,341,141,7,2,0,0,3,6,289,9,1.8600339051629118,1.979377037482616,1,310,191,6,3,2,5,5,22,311,1,1.91216253567012,1.7075100512169787,2,0
Derrick Wilson,courtney52@example.com,279,205,1,1,2,5,3,23,401,2,0.8547277326712825,1.6493851736016665,4,368,199,1,3,2,4,3,13,269,4,0.9715492398500036,1.0614797644710325,3,0
Steven Smith,drichmond@example.net,373,172,11,4,4,1,2,21,293,3,1.327744031791974,1.7751337676465235,3,234,183,7,1,2,8,4,3,223,9,1.698194096461016,1.773324825143268,4,0
Kyle Moore,ybutler@example.org,367,194,12,3,1,2,1,15,376,8,1.4287458081923587,1.4365336627960394,0,246,201,3,1,1,1,2,10,328,6,1.2254493751844953,1.3238344976259082,4,1
Jennifer Garcia,harveysteven@example.net,273,188,2,2,0,2,2,11,339,3,0.5144855710135544,1.525570240828286,2,251,201,7,2,3,9,4,13,277,7,1.5025829258732541,1.36249525320428,4,1
James Hernandez,joseph79@example.net,310,225,10,0,0,4,3,11,370,4,1.3755935955979437,0.7858972470336503,3,331,224,14,4,4,6,6,27,325,5,0.6900618874792575,0.9359815139965564,2,0
Andrea Morales,kellyhernandez@example.net,322,142,5,0,0,5,5,2,276,8,0.633673951846415,1.514294253204527,1,305,237,14,2,0,6,4,8,255,4,1.6287048489573632,0.5311796875408761,3,0
Miss Patricia Garcia,matthew26@example.org,229,257,2,0,2,6,1,19,264,2,1.8461360950986188,0.9791909363527063,3,263,203,3,0,1,8,2,28,327,7,1.4030328476584504,1.604043539082271,3,0
Christopher Rodriguez,xcruz@example.net,281,215,3,3,1,4,3,29,324,8,1.7516740687506958,1.4335229925957913,3,332,186,5,2,0,1,2,14,331,6,0.7514023421226805,1.6156236168897826,4,1
Calvin Peters,jgeorge@example.com,261,263,8,4,0,2,6,23,371,9,1.847024442285846,0.6864571070974947,3,304,202,12,2,0,3,5,3,201,4,1.696408240984507,0.6432313808672196,3,0
